試行回数,変えないで当選する確率,変えて当選する確率
10,0.3,0.7
20,0.5,0.5
30,0.4,0.6
40,0.4,0.6
50,0.38,0.62
60,0.35,0.65
70,0.328571,0.671429
80,0.325,0.675
90,0.311111,0.688889
100,0.33,0.67
110,0.318182,0.681818
120,0.308333,0.691667
130,0.307692,0.692308
140,0.307143,0.692857
150,0.326667,0.673333
160,0.33125,0.66875
170,0.329412,0.670588
180,0.333333,0.666667
190,0.331579,0.668421
200,0.325,0.675
210,0.32381,0.67619
220,0.336364,0.663636
230,0.334783,0.665217
240,0.329167,0.670833
250,0.332,0.668
260,0.334615,0.665385
270,0.32963,0.67037
280,0.325,0.675
290,0.32069,0.67931
300,0.33,0.67
310,0.329032,0.670968
320,0.321875,0.678125
330,0.324242,0.675758
340,0.320588,0.679412
350,0.32,0.68
360,0.322222,0.677778
370,0.327027,0.672973
380,0.331579,0.668421
390,0.325641,0.674359
400,0.33,0.67
410,0.329268,0.670732
420,0.328571,0.671429
430,0.323256,0.676744
440,0.320455,0.679545
450,0.313333,0.686667
460,0.313043,0.686957
470,0.317021,0.682979
480,0.320833,0.679167
490,0.322449,0.677551
500,0.322,0.678
510,0.327451,0.672549
520,0.321154,0.678846
530,0.324528,0.675472
540,0.324074,0.675926
550,0.325455,0.674545
560,0.328571,0.671429
570,0.326316,0.673684
580,0.324138,0.675862
590,0.323729,0.676271
600,0.323333,0.676667
610,0.32459,0.67541
620,0.327419,0.672581
630,0.328571,0.671429
640,0.33125,0.66875
650,0.333846,0.666154
660,0.333333,0.666667
670,0.332836,0.667164
680,0.332353,0.667647
690,0.328986,0.671014
700,0.328571,0.671429
710,0.329577,0.670423
720,0.329167,0.670833
730,0.330137,0.669863
740,0.332432,0.667568
750,0.336,0.664
760,0.335526,0.664474
770,0.336364,0.663636
780,0.334615,0.665385
790,0.332911,0.667089
800,0.33,0.67
810,0.328395,0.671605
820,0.328049,0.671951
830,0.327711,0.672289
840,0.327381,0.672619
850,0.327059,0.672941
860,0.327907,0.672093
870,0.329885,0.670115
880,0.328409,0.671591
890,0.32809,0.67191
900,0.328889,0.671111
910,0.328571,0.671429
920,0.328261,0.671739
930,0.329032,0.670968
940,0.330851,0.669149
950,0.330526,0.669474
960,0.330208,0.669792
970,0.329897,0.670103
980,0.329592,0.670408
990,0.329293,0.670707
1000,0.33,0.67
1010,0.328713,0.671287
1020,0.328431,0.671569
1030,0.331068,0.668932
1040,0.330769,0.669231
1050,0.331429,0.668571
1060,0.332075,0.667925
1070,0.330841,0.669159
1080,0.330556,0.669444
1090,0.331193,0.668807
1100,0.330909,0.669091
1110,0.333333,0.666667
1120,0.334821,0.665179
1130,0.334513,0.665487
1140,0.334211,0.665789
1150,0.335652,0.664348
1160,0.333621,0.666379
1170,0.335043,0.664957
1180,0.335593,0.664407
1190,0.334454,0.665546
1200,0.335833,0.664167
1210,0.336364,0.663636
1220,0.336066,0.663934
1230,0.335772,0.664228
1240,0.33629,0.66371
1250,0.3376,0.6624
1260,0.339683,0.660317
1270,0.340157,0.659843
1280,0.339062,0.660937
1290,0.339535,0.660465
1300,0.34,0.66
1310,0.340458,0.659542
1320,0.340152,0.659848
1330,0.33985,0.66015
1340,0.340299,0.659701
1350,0.341481,0.658519
1360,0.340441,0.659559
1370,0.340876,0.659124
1380,0.34058,0.65942
1390,0.339568,0.660432
1400,0.338571,0.661429
1410,0.338298,0.661702
1420,0.33662,0.66338
1430,0.336364,0.663636
1440,0.336806,0.663194
1450,0.337931,0.662069
1460,0.336301,0.663699
1470,0.337415,0.662585
1480,0.335811,0.664189
1490,0.336242,0.663758
1500,0.336,0.664
1510,0.335099,0.664901
1520,0.336184,0.663816
1530,0.337255,0.662745
1540,0.337662,0.662338
1550,0.337419,0.662581
1560,0.337179,0.662821
1570,0.33758,0.66242
1580,0.337342,0.662658
1590,0.337107,0.662893
1600,0.338125,0.661875
1610,0.338509,0.661491
1620,0.339506,0.660494
1630,0.33865,0.66135
1640,0.339634,0.660366
1650,0.339394,0.660606
1660,0.338554,0.661446
1670,0.338323,0.661677
1680,0.339881,0.660119
1690,0.340828,0.659172
1700,0.340588,0.659412
1710,0.342105,0.657895
1720,0.341279,0.658721
1730,0.34104,0.65896
1740,0.339655,0.660345
1750,0.341714,0.658286
1760,0.342045,0.657955
1770,0.341243,0.658757
1780,0.340449,0.659551
1790,0.339665,0.660335
1800,0.34,0.66
1810,0.338674,0.661326
1820,0.338462,0.661538
1830,0.338798,0.661202
1840,0.338587,0.661413
1850,0.338919,0.661081
1860,0.338172,0.661828
1870,0.339037,0.660963
1880,0.338298,0.661702
1890,0.337566,0.662434
1900,0.337895,0.662105
1910,0.337173,0.662827
1920,0.336979,0.663021
1930,0.336269,0.663731
1940,0.335567,0.664433
1950,0.335897,0.664103
1960,0.335204,0.664796
1970,0.333503,0.666497
1980,0.332828,0.667172
1990,0.332161,0.667839
2000,0.332,0.668
2010,0.332338,0.667662
2020,0.331683,0.668317
2030,0.332512,0.667488
2040,0.332353,0.667647
2050,0.332683,0.667317
2060,0.332039,0.667961
2070,0.331401,0.668599
2080,0.33125,0.66875
2090,0.3311,0.6689
2100,0.330952,0.669048
2110,0.33128,0.66872
2120,0.33066,0.66934
2130,0.330047,0.669953
2140,0.329439,0.670561
2150,0.329302,0.670698
2160,0.330093,0.669907
2170,0.330415,0.669585
2180,0.329817,0.670183
2190,0.330137,0.669863
2200,0.330455,0.669545
2210,0.332127,0.667873
2220,0.331982,0.668018
2230,0.331839,0.668161
2240,0.332143,0.667857
2250,0.331556,0.668444
2260,0.332743,0.667257
2270,0.33304,0.66696
2280,0.332018,0.667982
2290,0.332314,0.667686
2300,0.332174,0.667826
2310,0.332035,0.667965
2320,0.332328,0.667672
2330,0.333047,0.666953
2340,0.332906,0.667094
2350,0.333191,0.666809
2360,0.333898,0.666102
2370,0.333755,0.666245
2380,0.333613,0.666387
2390,0.333473,0.666527
2400,0.332917,0.667083
2410,0.33195,0.66805
2420,0.333058,0.666942
2430,0.332099,0.667901
2440,0.331967,0.668033
2450,0.333061,0.666939
2460,0.33252,0.66748
2470,0.331579,0.668421
2480,0.331048,0.668952
2490,0.330522,0.669478
2500,0.3308,0.6692
2510,0.330677,0.669323
2520,0.331746,0.668254
2530,0.332806,0.667194
2540,0.333071,0.666929
2550,0.333333,0.666667
2560,0.333984,0.666016
2570,0.333463,0.666537
2580,0.333333,0.666667
2590,0.333977,0.666023
2600,0.333846,0.666154
2610,0.333333,0.666667
2620,0.333206,0.666794
2630,0.33384,0.66616
2640,0.33447,0.66553
2650,0.33434,0.66566
2660,0.334211,0.665789
2670,0.335206,0.664794
2680,0.333955,0.666045
2690,0.333829,0.666171
2700,0.334074,0.665926
2710,0.333948,0.666052
2720,0.333824,0.666176
2730,0.333333,0.666667
2740,0.332847,0.667153
2750,0.332364,0.667636
2760,0.331884,0.668116
2770,0.331047,0.668953
2780,0.330576,0.669424
2790,0.331183,0.668817
2800,0.331071,0.668929
2810,0.330961,0.669039
2820,0.330496,0.669504
2830,0.330389,0.669611
2840,0.329577,0.670423
2850,0.329474,0.670526
2860,0.329371,0.670629
2870,0.328223,0.671777
2880,0.328472,0.671528
2890,0.32872,0.67128
2900,0.328966,0.671034
2910,0.329553,0.670447
2920,0.32911,0.67089
2930,0.32901,0.67099
2940,0.328571,0.671429
2950,0.328814,0.671186
2960,0.329392,0.670608
2970,0.32862,0.67138
2980,0.329195,0.670805
2990,0.3301,0.6699
3000,0.329667,0.670333
